	(1)	(2)	(3)
	reg_pols_6	reg_did_6	reg_did_psm_6
VARIABLES	LN_IED	LN_IED	LN_IED
			
tratado_tratamiento			0.896
			(0.588)
tratado_control			1.025*
			(0.613)
_pscore			-2.237
			(1.636)
PIB	0.0206*	0.0206*	0.0257
	(0.0116)	(0.0119)	(0.0171)
PIB_per	3.38e-05***	4.32e-05***	2.57e-05
	(9.69e-06)	(1.47e-05)	(2.25e-05)
IPC	-5.22e-07	-7.20e-07	3.07e-07
	(1.89e-05)	(1.89e-05)	(4.22e-06)
dif_imp	0.0214*	0.0151	0.0237
	(0.0113)	(0.0122)	(0.0167)
BC	-4.60e-07**	-4.83e-07***	-2.53e-07
	(1.79e-07)	(1.81e-07)	(2.77e-07)
Acuerdo_comercial	0.279	0.263	0.249
	(0.178)	(0.181)	(0.269)
Acuerdo_prot_inversión	0.834***	0.609**	0.861***
	(0.264)	(0.273)	(0.301)
Distancia_km	-0.000253***		-0.000264***
	(5.52e-05)		(4.83e-05)
Brent	0.0136***	0.0135***	0.0121***
	(0.00330)	(0.00330)	(0.00357)
SP_500	-0.000509***	-0.000533***	-0.000517***
	(0.000100)	(0.000102)	(0.000152)
Impago_deuda_sob	6.67e-06	7.65e-06	4.43e-06
	(1.80e-05)	(1.80e-05)	(3.19e-06)
Tasa_mer_monetario	-0.413***	-0.412***	-0.446***
	(0.132)	(0.133)	(0.157)
diftasa_mercmonetario	0.414***	0.419***	0.436***
	(0.134)	(0.134)	(0.164)
Tasa_prestamo	0.303***	0.297**	0.318**
	(0.118)	(0.118)	(0.139)
diftasa_prestamo	-0.332***	-0.331***	-0.343**
	(0.117)	(0.117)	(0.146)
DXY	0.0470***	0.0481***	0.0474**
	(0.0124)	(0.0125)	(0.0195)
ADT	-0.0367	0.0131	
	(0.227)	(0.235)	
o.Distancia_km		-	
			
Constant	-3.606***	-5.896***	-3.060
	(1.201)	(1.156)	(1.943)
			
Observations	2,150	2,150	2,150
R-squared		0.051	
Number of ID	35	35	35
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
