	(1)	(2)	(3)
	reg_pols_4	reg_did_4	reg_did_psm_4
VARIABLES	LN_IED	LN_IED	LN_IED
			
tratado_tratamiento			0.947
			(0.599)
tratado_control			0.893
			(0.637)
_pscore			-0.598
			(1.422)
PIB	0.0107	0.00598	0.0113
	(0.0106)	(0.0109)	(0.0155)
PIB_per	4.12e-05***	6.70e-05***	4.13e-05**
	(8.41e-06)	(1.32e-05)	(2.05e-05)
IPC	2.65e-08	4.36e-07	4.40e-07
	(1.90e-05)	(1.91e-05)	(4.14e-06)
dif_imp	0.0325***	0.0297***	0.0325*
	(0.0105)	(0.0112)	(0.0177)
BC	-4.38e-07**	-4.46e-07**	-3.82e-07
	(1.76e-07)	(1.78e-07)	(3.16e-07)
Acuerdo_comercial	0.546***	0.534***	0.534**
	(0.160)	(0.162)	(0.224)
Acuerdo_prot_inversión	1.048***	0.866***	1.023***
	(0.263)	(0.270)	(0.290)
Distancia_km	-0.000277***		-0.000287***
	(5.47e-05)		(4.06e-05)
Brent	0.0106***	0.0107***	0.0102***
	(0.00205)	(0.00205)	(0.00245)
SP_500	-0.000146**	-0.000169***	-0.000143
	(6.19e-05)	(6.32e-05)	(0.000129)
ADT	0.114	0.134	
	(0.226)	(0.233)	
o.Distancia_km		-	
			
Constant	1.642***	-1.289**	1.556
	(0.564)	(0.520)	(1.057)
			
Observations	2,593	2,593	2,593
R-squared		0.039	
Number of ID	41	41	41
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
